Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,570486,-,-,-,21.17,-101.7,-6,1892,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2017,1,1,0,30,0,0,0,0,0,0,1,7,174.94,0,0.138,1.2000000000000002,1.947,307.20000000000005,91.21000000000001,10,810,0.0000,0.0000,N/A
2017,1,1,1,30,0,0,0,0,0,0,0,7,170.64000000000001,0,0.138,1,1.926,309.40000000000003,89.97,9,810,0.0000,0.0000,N/A
2017,1,1,2,30,0,0,0,0,0,0,0,7,156.88,0,0.138,1,1.897,312.5,95.15,9,810,0.0000,0.0000,N/A
2017,1,1,3,30,0,0,0,0,0,0,1,7,143.09,0,0.138,1,1.865,315.1,94.4,9,810,0.0000,0.0000,N/A
2017,1,1,4,30,0,0,0,0,0,0,8,7,129.4,0,0.138,0.9,1.833,319.20000000000005,93.84,9,810,0.0000,0.0000,N/A
2017,1,1,5,30,0,0,0,0,0,0,7,6,115.86,0,0.138,0.8,1.807,325.5,93.21000000000001,9,810,0.0000,0.0000,N/A
2017,1,1,6,30,0,0,0,0,0,0,1,6,102.56,0,0.138,0.4,1.792,333.40000000000003,92.78,9,810,0.0000,0.0000,N/A
2017,1,1,7,30,0,0,0,0,0,0,8,6,89.63,0,0.138,0.4,1.782,359.40000000000003,81.33,10,810,0.0000,0.0000,N/A
2017,1,1,8,30,82,324,153,60,566,185,8,7,77.27,4,0.138,1,1.7770000000000001,129.9,73.55,13,810,7.3518,5.6263,N/A
2017,1,1,9,30,82,776,400,82,776,400,1,7,65.81,0,0.138,2,1.7850000000000001,222.60000000000002,56.06,16,810,21.2056,16.4944,N/A
2017,1,1,10,30,95,870,584,95,870,584,0,6,55.84,0,0.138,2.9000000000000004,1.801,245.70000000000002,46.52,19,810,32.9175,25.7615,N/A
2017,1,1,11,30,323,332,544,104,913,712,3,6,48.28,0,0.138,3.3000000000000003,1.816,252.70000000000002,40.96,20,810,31.6186,24.8064,N/A
2017,1,1,12,30,338,56,378,102,942,775,8,6,44.39,0,0.138,3.7,1.827,257,38.44,21,810,22.2380,17.4624,N/A
2017,1,1,13,30,288,28,308,103,935,763,4,6,45.13,0,0.138,4,1.831,258.8,38.050000000000004,22,810,18.0810,14.1960,N/A
2017,1,1,14,30,314,88,370,98,910,680,3,5,50.300000000000004,0,0.138,4,1.819,259.7,37.550000000000004,22,810,21.3513,16.7420,N/A
2017,1,1,15,30,207,454,443,82,875,536,3,5,58.74,0,0.138,3.8000000000000003,1.7910000000000001,257.90000000000003,39.01,21,810,24.5989,19.2256,N/A
2017,1,1,16,30,68,770,340,68,770,340,1,5,69.26,0,0.138,2.9000000000000004,1.752,255.3,40.75,20,810,17.5204,13.5799,N/A
2017,1,1,17,30,42,520,123,42,520,123,3,6,81.04,4,0.138,1.7000000000000002,1.689,256.6,54.09,16,810,0.0000,0.0000,N/A
2017,1,1,18,30,0,0,0,0,0,0,1,7,93.61,0,0.138,1.3,1.596,261.6,69.08,13,810,0.0000,0.0000,N/A
2017,1,1,19,30,0,0,0,0,0,0,1,6,106.67,0,0.138,1.4000000000000001,1.496,266.1,70.9,12,810,0.0000,0.0000,N/A
2017,1,1,20,30,0,0,0,0,0,0,1,6,120.06,0,0.138,1.5,1.409,272.5,73.27,11,810,0.0000,0.0000,N/A
2017,1,1,21,30,0,0,0,0,0,0,1,6,133.66,0,0.138,1.5,1.329,278.40000000000003,76.36,11,810,0.0000,0.0000,N/A
2017,1,1,22,30,0,0,0,0,0,0,1,5,147.4,0,0.138,1.6,1.2590000000000001,282.5,80.43,10,810,0.0000,0.0000,N/A
2017,1,1,23,30,0,0,0,0,0,0,1,5,161.20000000000002,0,0.138,1.5,1.202,287.2,85.22,9,810,0.0000,0.0000,N/A
2017,1,2,0,30,0,0,0,0,0,0,0,5,174.87,0,0.138,1.4000000000000001,1.145,295,85.06,8,810,0.0000,0.0000,N/A
2017,1,2,1,30,0,0,0,0,0,0,0,5,170.76,0,0.138,1.2000000000000002,1.088,299.7,91.57000000000001,8,810,0.0000,0.0000,N/A
2017,1,2,2,30,0,0,0,0,0,0,1,5,156.99,0,0.138,1.1,1.05,307.1,92.43,7,810,0.0000,0.0000,N/A
2017,1,2,3,30,0,0,0,0,0,0,1,6,143.19,0,0.138,1.1,1.022,319.20000000000005,100,7,810,0.0000,0.0000,N/A
2017,1,2,4,30,0,0,0,0,0,0,1,6,129.49,0,0.138,1.1,0.985,328.5,100,6,810,0.0000,0.0000,N/A
2017,1,2,5,30,0,0,0,0,0,0,1,4,115.94,0,0.138,1.1,0.931,332.5,100,6,810,0.0000,0.0000,N/A
2017,1,2,6,30,0,0,0,0,0,0,1,4,102.63,0,0.138,1,0.866,331.90000000000003,100,6,810,0.0000,0.0000,N/A
2017,1,2,7,30,0,0,0,0,0,0,1,6,89.69,0,0.138,1.4000000000000001,0.809,330.20000000000005,95,8,810,0.0000,0.0000,N/A
2017,1,2,8,30,43,738,205,43,738,205,1,6,77.32000000000001,0,0.138,1.8,0.779,338.1,73.83,12,810,9.8474,7.5355,N/A
2017,1,2,9,30,56,914,431,56,914,431,0,6,65.84,0,0.138,2.2,0.775,318.40000000000003,55.29,16,810,22.8438,17.7682,N/A
2017,1,2,10,30,63,991,620,63,991,620,0,3,55.84,0,0.138,2.6,0.784,281.5,39.04,19,810,34.9467,27.3495,N/A
2017,1,2,11,30,67,1028,752,67,1028,752,0,2,48.24,0,0.138,2.5,0.796,277,32.01,21,810,43.7139,34.2962,N/A
2017,1,2,12,30,69,1042,815,69,1042,815,0,1,44.31,0,0.138,2.4000000000000004,0.811,272.7,28.35,22,810,47.9580,37.6597,N/A
